func_provider,func_mem,file_size,src_provider,dest_provider,same_region,upload_time,download_time
aws,512,1MB,gcp,gcp,True,0.616,0.678
aws,512,1MB,aws,aws,True,0.281,0.158
aws,512,1MB,gcp,gcp,True,0.205,0.312
aws,512,1MB,aws,aws,True,0.332,0.175
aws,512,1MB,gcp,gcp,True,0.23,0.36
aws,512,1MB,aws,aws,True,0.394,0.444
aws,512,1MB,gcp,gcp,True,0.401,0.336
aws,512,1MB,aws,aws,True,0.318,0.182
aws,512,1MB,gcp,gcp,True,0.193,0.338
aws,512,1MB,aws,aws,True,0.302,0.182
aws,512,1MB,gcp,gcp,True,0.167,0.221
aws,512,1MB,aws,aws,True,0.19,0.112
aws,512,1MB,gcp,gcp,True,0.201,0.258
aws,512,1MB,aws,aws,True,0.298,0.175
aws,512,1MB,gcp,gcp,True,0.225,0.211
aws,512,1MB,aws,aws,True,0.324,0.152
aws,512,1MB,gcp,gcp,True,0.311,0.366
aws,512,1MB,aws,aws,True,0.44,0.209
aws,512,1MB,gcp,gcp,True,0.322,0.276
aws,512,1MB,aws,aws,True,0.216,0.229
aws,512,1MB,gcp,gcp,True,0.207,0.132
aws,512,1MB,aws,aws,True,0.413,0.158
aws,512,1MB,gcp,gcp,True,0.178,0.218
aws,512,1MB,aws,aws,True,0.23,0.108
aws,512,1MB,gcp,gcp,True,0.184,0.21
aws,512,1MB,aws,aws,True,0.323,0.14
aws,512,1MB,gcp,gcp,True,0.176,0.285
aws,1024,1MB,aws,aws,True,0.583,2.365
aws,1024,1MB,gcp,gcp,True,0.325,0.32
aws,1024,1MB,aws,aws,True,0.206,0.184
aws,1024,1MB,gcp,gcp,True,0.207,0.384
aws,1024,1MB,aws,aws,True,0.21,0.081
aws,1024,1MB,gcp,gcp,True,0.233,0.408
aws,1024,1MB,aws,aws,True,0.142,0.138
aws,1024,1MB,gcp,gcp,True,0.184,0.299
aws,1024,1MB,aws,aws,True,0.23,0.079
aws,1024,1MB,gcp,gcp,True,0.157,0.354
aws,1024,1MB,aws,aws,True,0.207,0.091
aws,1024,1MB,gcp,gcp,True,0.163,0.255
aws,1024,1MB,aws,aws,True,0.217,0.081
aws,1024,1MB,gcp,gcp,True,0.144,0.288
aws,1024,1MB,aws,aws,True,0.252,0.067
aws,1024,1MB,gcp,gcp,True,0.147,0.279
aws,1024,1MB,aws,aws,True,0.215,0.082
aws,1024,1MB,gcp,gcp,True,0.169,0.137
aws,1024,1MB,aws,aws,True,0.229,0.124
aws,1024,1MB,gcp,gcp,True,0.15,0.291
aws,1024,1MB,aws,aws,True,0.228,0.053
aws,1024,1MB,gcp,gcp,True,0.2,0.282
aws,1024,1MB,aws,aws,True,0.234,0.064
aws,1024,1MB,gcp,gcp,True,0.153,0.219
aws,1024,1MB,aws,aws,True,0.211,0.053
aws,1024,1MB,gcp,gcp,True,0.136,0.283
aws,1024,1MB,aws,aws,True,0.162,0.07
aws,1024,1MB,gcp,gcp,True,0.175,0.292
aws,1024,1MB,aws,aws,True,0.275,0.063
aws,1024,1MB,gcp,gcp,True,0.124,0.2
aws,2048,1MB,aws,aws,True,0.432,1.564
aws,2048,1MB,gcp,gcp,True,0.224,0.33
aws,2048,1MB,aws,aws,True,0.239,0.154
